Ser No.,C,Al,Cu,Fe,Mn,Ni,Ti,V,Cr,Mo,Nb,Zr,Liquidus,Term. Temp,Solidifcation Range,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,Acceptable
503,0,0,1,0.01,4.1,4.39,59,0,0,4.5,9,18,1835.13,855.46,979.67,0.781767228,0,0.781767228,0.218232772,0
504,0,0,3.02,0,12.39,13.97,22.67,0,0,28.21,19.74,0,2092.15,787.36,1304.79,0.782741839,0.184031404,0.966773243,0.033226757,1
505,0.022989902,0,2.718,6.917508633,11.25152485,13.51393577,20.403,0,2.018040845,25.389,17.766,0,1942.05,788.55,1153.5,0.70037796,0.165925842,0.866303802,0.133696198,0
506,0.045979804,0,2.416,13.83501727,10.1130497,13.05787154,18.136,0,4.03608169,22.568,15.792,0,1799.76,823.28,976.48,0.568284209,0.152033704,0.720317913,0.279682087,0
507,0.068969707,0,2.114,20.7525259,8.974574555,12.6018073,15.869,0,6.054122535,19.747,13.818,0,1665.31,828.23,837.08,0.379788877,0.18595388,0.565742758,0.434257242,0
508,0.091959609,0,1.812,27.67003453,7.836099407,12.14574307,13.602,0,8.072163381,16.926,11.844,0,1536.07,845.85,690.22,0.244892448,0.19331372,0.438206167,0.561793833,0
509,0.114949511,0,1.51,34.58754316,6.697624259,11.68967884,11.335,0,10.09020423,14.105,9.87,0,1407.8,862.21,545.59,0.117541323,0.210102085,0.327643407,0.672356593,0
510,0.137939413,0,1.208,41.5050518,5.55914911,11.23361461,9.068,0,12.10824507,11.284,7.896,0,1388.24,864.12,524.12,5.58E-05,0.256769627,0.256825384,0.743174616,0
511,0.160929315,0,0.906,48.42256043,4.420673962,10.77755038,6.801,0,14.12628592,8.463,5.922,0,1362.56,954.83,407.73,0.310008753,0.263636941,0.573645694,0.426354306,0
512,0.183919218,0,0.604,55.34006906,3.282198814,10.32148615,4.534,0,16.14432676,5.642,3.948,0,1294.91,1021.46,273.45,0.508762722,0.28447486,0.793237582,0.206762418,0
513,0.20690912,0,0.302,62.25757769,2.143723666,9.865421914,2.267,0,18.16236761,2.821,1.974,0,1371.53,1134.96,236.57,0.616608816,0.311754773,0.928363589,0.071636411,0
514,0,0,0,7.492163622,0,8.316719036,40.79079035,0,0,26.88758418,16.51274282,0,2201.38,953.49,1247.89,0.952994161,0,0.952994161,0.047005839,1
515,0,1.019533165,0,6.74294726,0,7.485047133,45.33217339,0.360004762,0,24.19882576,14.86146853,0,2201.17,956.04,1245.13,0.922636458,0,0.922636458,0.077363542,0
516,0,2.039066331,0,5.993730898,0,6.653375229,49.87355642,0.720009524,0,21.51006734,13.21019425,0,2192.63,957.55,1235.08,0.90520436,0,0.90520436,0.09479564,0
517,0,3.058599496,0,5.244514535,0,5.821703325,54.41493946,1.080014286,0,18.82130892,11.55891997,0,2174.47,959.74,1214.73,0.904129506,0,0.904129506,0.095870494,0
518,0,4.078132662,0,4.495298173,0,4.990031422,58.9563225,1.440019047,0,16.13255051,9.90764569,0,2145.27,961.06,1184.21,0.925262314,0,0.925262314,0.074737686,0
519,0,5.097665827,0,3.746081811,0,4.158359518,63.49770554,1.800023809,0,13.44379209,8.256371408,0,2103.2,963.56,1139.64,0.947620762,0,0.947620762,0.052379238,0
520,0,6.117198992,0,2.996865449,0,3.326687614,68.03908858,2.160028571,0,10.75503367,6.605097126,0,2045.67,967.29,1078.38,0.965055101,0,0.965055101,0.034944899,1
521,0,7.136732158,0,2.247649087,0,2.495015711,72.58047161,2.520033333,0,8.066275254,4.953822845,0,1968.85,971.58,997.27,0.97827916,0,0.97827916,0.02172084,1
522,0,8.156265323,0,1.498432724,0,1.663343807,77.12185465,2.880038095,0,5.377516836,3.302548563,0,1868.2,980.24,887.96,0.98670806,0,0.98670806,0.01329194,1
523,0,9.175798489,0,0.749216362,0,0.831671904,81.66323769,3.240042857,0,2.688758418,1.651274282,0,1750.76,1010.63,740.13,0.990161238,0,0.990161238,0.009838762,1
524,0,0,29.12732731,10.04362801,0,21.97943085,23.43520197,15.41441186,0,0,0,0,1136.61,887.92,248.69,0.241369086,0.082699382,0.324068468,0.675931532,0
525,0,1.019533165,26.21459458,9.039265212,0,19.78148776,29.71214385,14.23297544,0,0,0,0,1104.97,836.01,268.96,0.538214642,0.098233108,0.636447749,0.363552251,0
526,0,2.039066331,23.30186185,8.034902411,0,17.58354468,35.98908572,13.05153901,0,0,0,0,1123.19,764,359.19,0.745877013,0.09232014,0.838197152,0.161802848,0
527,0,3.058599496,20.38912912,7.030539609,0,15.38560159,42.2660276,11.87010259,0,0,0,0,1123.51,755.38,368.13,0.764189681,0.004509741,0.768699422,0.231300578,0
528,0,4.078132662,17.47639638,6.026176808,0,13.18765851,48.54296947,10.68866616,0,0,0,0,1099.12,912.98,186.14,0.818275789,0,0.818275789,0.181724211,0
529,0,5.097665827,14.56366365,5.021814007,0,10.98971542,54.81991135,9.507229739,0,0,0,0,1085.34,906.23,179.11,0.886287406,0,0.886287406,0.113712594,0
530,0,6.117198992,11.65093092,4.017451205,0,8.791772339,61.09685323,8.325793315,0,0,0,0,1223.16,899.08,324.08,0.93159994,0,0.93159994,0.06840006,0
531,0,7.136732158,8.738198192,3.013088404,0,6.593829254,67.3737951,7.144356891,0,0,0,0,1360.25,899.81,460.44,0.960896937,0,0.960896937,0.039103063,1
532,0,8.156265323,5.825465462,2.008725603,0,4.395886169,73.65073698,5.962920467,0,0,0,0,1483.74,904.6,579.14,0.980205423,0,0.980205423,0.019794577,1
533,0,9.175798489,2.912732731,1.004362801,0,2.197943085,79.92767885,4.781484043,0,0,0,0,1591,980.87,610.13,0.990052089,0,0.990052089,0.009947911,1
534,0,0,0,1.297680175,0,1.234711965,45.41894168,0,0,30.20798223,21.84068395,0,2400.97,1021.85,1379.12,0.390203683,0,0.390203683,0.609796317,0
535,0.022989902,0,0,8.08542079,0.100524852,2.052176537,40.87704751,0,2.018040845,27.18718401,19.65661555,0,2295.34,1007.24,1288.1,0.988077381,0.000525053,0.988602434,0.011397566,1
536,0.045979804,0,0,14.87316141,0.201049703,2.869641109,36.33515334,0,4.03608169,24.16638579,17.47254716,0,2108.44,1002.85,1105.59,0.892084176,0.001112128,0.893196304,0.106803696,0
537,0.068969707,0,0,21.66090202,0.301574555,3.68710568,31.79325918,0,6.054122535,21.14558756,15.28847876,0,1920.19,999.57,920.62,0.750331943,0.001711996,0.752043939,0.247956061,0
538,0.091959609,0,0,28.44864264,0.402099407,4.504570252,27.25136501,0,8.072163381,18.12478934,13.10441037,0,1736.65,1020.25,716.4,0.567498641,0.002295681,0.569794322,0.430205678,0
539,0.114949511,0,0,35.23638325,0.502624259,5.322034824,22.70947084,0,10.09020423,15.10399112,10.92034197,0,1562.76,1223.82,338.94,0.345946053,0.002798629,0.348744682,0.651255318,0
